pageid,title,wikidata,label
468831,Epeli Nailatikau,Q373605,Epeli Nailatikau
525868,Frank Bainimarama,Q57830,Frank Bainimarama
3327726,Parveen Bala,Q7238848,Parveen Bala
8815402,Aiyaz Sayed-Khaiyum,Q4699401,Aiyaz Sayed-Khaiyum
43219532,Jone Usamate,Q17319028,Jone Usamate
43939068,Rosy Akbar,Q18211338,Rosy Akbar
43977883,Faiyaz Koya,Q18210195,Faiyaz Koya
43978012,Semi Koroilavesau,Q18217983,Semi Koroilavesau
45462224,Mahendra Reddy,Q19665719,Mahendra Reddy
59108981,Ifereimi Waqainabete,Q58974724,Ifereimi Waqainabete
59136029,Premila Kumar,Q59160142,Premila Kumar
59204781,Inia Seruiratu,Q59149050,Inia Seruiratu
69079866,Wiliame Katonivere,Q109012733,Wiliame Katonivere
